pus	مګر ما ته دا ویل شوې وه چې په دیوال باندېپه رسم نه جوړوم.
zlm	Shivi sedang bersandar di batang pokok apabila tiba-tiba dia melompat ketakutan.
hdy	Iyummaa Iyumi Amaa hurbaata saramoola.
kur	Bawgim qîjan, “Ewe müşege s,ha pişt serid!” Daygim îş ta çewî keft e müşege heyway e jîr textege!
kok	म्हाकां भायर पावसांत खेळपाक खूब आवडटा
lke	Baiiruka wamu buli lunaku.
kau	Amma, gadegadero burwunza falfalro, kǝrǝnjin sǝ sandiro guljiwo.
pnz	Ka rú ru too ɓay a ní  kuriri, kú zi kála yá.
sjp	टप-टप टिप-टिप नलडात  से पानी निकली छे
alx	Gilondu kajango
kxv	Shanti and Arun were good friends.
lkb	Ekhabire ano,  alia nende buli abundu,  senyolirekho abundu wosi tawe.
bkm	"Ka wa n-kàsi ìbàm."""
njd	जोजो ह जैरा ल बताईसओला तो दाई ह बुलाए हे ।
jen	Filimiyan yidi bi a kulɨ fa manɨ.
mlg	Indray andro hono, nisy zazalahy iray atao hoe Wayan.
sqi	- tha Rohan.
anu	Løny man päära wøk kigø.
kyw	मंतुक जखन ओंय बिछनाए सुतुइसआहिआरड सुरु करली खजुआए!खाउज!
lkt	Wičháȟpi líla čhéye.
ssc	"Yëësu, akamarërrya ko okoghamba igha, ""Ni‑igho erebha kö‑möntö ono akwibheekera ëbhëntö, kasi aanga ukwibheekera ku‑Waryobha."""
clk	Shanti etakey Nyachi keba Aaro go kamachiyega, Ayeney.
rag	Yava ni vandu vange vave mumodoga vaziiza kurora zinyama.
bns	अम्मूके लगां कौनौ पिल्ला विल्ला नईं हतो।पर बाने सबमें बोल धरी की बाके लगां है एक पिल्ला।
kfq	“अरे आपे!” राजू आचंबोटे मांडीके.
stv	ባተይ፡፡
jab	Kheb nyi go ri Kwain kā nyi kā lem KwyenyOur hometown is Kwain while our language is KwyenyBo kî lem Kwyeny di Ha Kwain, Ho Kwain, be DuróKwyeny is spoken in Ha Kwain, Ho Kwain and DuróNyi su fu HamWe are Ham
blo	»Ganyaʊ wàà : « Abʊrʊ a lee penti.
kfr	"હાથીએ પૂછ્યું : ""નાની મધમાખી, શું  આ માળો તારું ઘર છે?"""
bwr	Saka heni ksi.
ahr	कुत्रं चिडानी मांगे पयस.
que	Inca jhappipayana alqu.
igb	Udoo mé hu ohi, onyí enini nyima itopa ani.
bxk	Eebino biiraro biaange biiyakha.
saq	Naa keata ngupu.
ful	Saroji wi'i: « Nyamdu ma weli.»  Nden  derɗiko maako pamarel wi'i: «Mi yiiɗi fahin!»ƳamolƊume Mariyam yehi soodugo haa luumo?
bmo	Miŋguo gū ghɨ̌nɔ.
kfa	ಮಮ್ಮಿ ಧೈರ್ಯತ್ ಒರ್ ಚೀಪೆ ಕೊಂಡಂಡ್ ಬಂತ್ ಅಲ್ಲಿ ಅಲ್ಲಿ ಕೆದ್ಕಿ ನೋಟೋಚಿ.
ppl	Ashan, ne inajnakas tultik.
prs	در زمان های بسیار قدیم, چلپاسه و بقه با هم دوست بودند.
kfc	అయ సర్దు రుండి పెరి గడ్డెఙ్‌బా మహె, అక్కెఙ్‌బా డాట్సినె సొన్సి వాదెఙ్.
pil	Deerɑ mɑ nɑ mǝnǝ ɑrɑ?
hlb	उवां!फिह्वी!हूहू!पुक!
nyd	Eliswi khu murwe okwe Likhutu silia mela ta.
kfb	काकोक लवकर ओलतेन तर मारी, रबडी काकेंगसाठी वांदगीपेंग आणि आटटीपेंग इडूळ पाल ताट्ट गेंजतेंङ आटना मांडेग लागतांडीन.
nup	Kăshi ûndā efo'ŏ gado'ŏ?
lmn	राजा कत्रार लार धासो .
zho	看乌戈戈，这是给你的一个新房子。哦，木子，这是最好的建筑！乌戈戈笑着说。
fuc	"""Eey yoo!"""
ara	"*""."
nor	jublet tvilligene.
noe	हाऊ  यहाँ आपणा पूरा परिवार की साथ रहूंज।
kfy	एक हिरनौ बच्च जंगल में घुमणौं छी।
adx	ཁྱི།
tgl	"""Gayundin ako,"" sabi ni Rajesh."
orm	Waan innigodhee hundumaa godhu.
cdz	"যতঃঅই বই নাআ ব্যাগ আগুতাআকু । আঙ্কু যতঃঅই মিলে রাআ শুরু কাআকু, "" মাস্টার মশাই!"
bbl	ე სეჼ დად ვა.
lns	Mo wù du, e nèn  yèn vé kimbome, á nèn lòn kicí kiy,  wù fó.
thq	हमर सोचसब हमरेसङे सुइत जाइछै।
lot	"Ajio nî, ""Oyiji ôfîôrô hûnîa!"
unr	बाबता!बाबता!
igl	Ma  ja keli.
swa	Waliamua kumtuma Nyani mmoja aende katika Kijiji cha Mwese kwa siri.
dav	Kioghadi, mbisi redeboka nandighi.
thr	राजा कुत्ताके पकड़ लइ ।
saz	"""Mogho thella pajja!"
wbr	"""उबी रे संपी, घबरा नके,"" आई धिरे रई ने हमजाड़े, ""मने लागे आने आपड़े भाई-बन पाय जावू है।"""
lou	"In, dé, trò, ..."""
pwr	मी केतारबी गुंडल्ला वाकलाचिरका काढतली.
gon	"दाऊ इत्तुल| ""नाकुन मनी मरेगमट !"
sgj	लेकिन मैं कभी इसके साथ नहीं उड़ सकता।
lep	ཨ་ཁུ་གླང་ཆེན་ལགས་ང་ལ་རོགས་རམ་གནང་བ་སྙིང་ཐག་པ་ནས་ཐུགས་རྗེ་ཆེ་གནང་ཅེས་སྦྲང་མས་ལབ།
kln	kamenyun ak batyem ko kanam kasiit
din	Acol kek wun aci ŋiec cieŋ kamken.
spv	""" कि आय ?"""
rwr	रातरा मा ने  श्याम घोडा वेजेन सुता , तो मन्जु                        पाणी में पेरवा वारा चश्मा लेन घर ती बारे समुक रा किनारा माते धीरे 2 जावा ढुकी । वटे
ets	Ejé,ǫ re a aga.
lko	Silibechanga buluu buli lwosi dawe.
bgc	गप्पू न ऊंची गिंडु फेंकी बल्लेबाज झुक गया अर गिंडु सीधी जा बड़ी पहलवान के मुह में
gld	Ми амта дякава нучикэндюэн дёдиадиани гадёи осини, Ма мимбивэ госолайни.
dho	હવે જીતૂ આઈ હો હુધી, ગણુની વારી આહે
coz	Ni nuxrï lloo̞ nda ja'ä
kcp	ngo 'dix mixzox.
zap	Nyobre  ma lizh ma, gorze ngwzhël ma tlë' do' masno'l.
ibb	Enang ukwak ado aduok ke ukod Fati.
