zlm	Bahawasanya pengabaian serta penghinaan terhadap hak asasi manusia telah pun mengakibatkan tindakan terkutuk yang telah melanggari perasaan hati umat manusia, dan munculnya sebuah dunia di mana manusia akan menikmati kebebasan berucap dan menganut kepercayaan serta kebebasan dari rasatakut dan citarasa telah pun diisytiharkan sebagai aspirasi toragung seluruh umat manusia.
zlm	كماهوان رعيت هندقله منجادي اساس كويباوأن كراجأن; كماهوان اين هندقله دبوقتيكن ملالؤي ڤيليهنراي بركالا يڠ سجاتي يڠ مان هندقله دأداكن سچارا سجاڬت دان سامرات دان هندقله دأداكن سچارا اوندي سوليت اتاو ملالؤي اچارا ڤڠوندين بيبس يڠ كتارا.
zlm	ستياڤ اورڠ عداله برحق كڤد ڤلواڠ سامرات كڤد ڤرخدمتن عوام دالم نڬاراڽ.
zlm	Setiap orang adalah berhak kepada semua hak-hak dan kebebasan yang termaktub dalam Perisytiharan ini, tanpa sebarang apa jua pembezaan, seperti bangsa, warna kulit, jantina, bahasa, ugama, faham politik atau lain-lain fahaman, asal-usul bangsa keturunan atau sosial harta-benda, kelahiran atau apa-apa taraf lain.
zlm	Setiap orang adalah berhak kepada pekerjaan, kepada pemilihan pekerjaannya secara bebas, kepada keadaan-keadaan pekerjaan yang adil dan berfaedah baginya dan kepada perlindungan daripada pengangguran.
ztu	Wzahahn ra:a'p deree'ch guuny escojeer xi cla's deh educasyoony ga:a'p zhii'inyrih.
ztu	Ra'ta' bu:unny ra:a'p deree'ch te'ihby paag jwua'st pahr ze:e:i'ny nih ruhny bu:unny.
ztu	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny participaar loh cultuuar x:te:e' guee'ihzh.
ztu	Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p desca'annz. Nye:e'c te'ihby bu:unny quei'ty guuny ze:e:i'ny demaasta'. Chiru' na:a pahr gaazh bu:unny bacasyoony.
ztu	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny bu:unny ze:e:i'ny, pahr ynna:a'az bu:unny ze:e:i'ny nih rca:a'z bu:uny, pahr ga:a'p bu:unny te'ihby lahty que'ihty guunyza'c bu:unny ze:e:i'ny. Chiru' ga'c bu:unny protejeer chih quei'ty ra:a'p bu:unny ze:e:i'ny.
ykg	тэт омо, аруу, ньаачэн сурэ, тадаатэ эрэльиигийэ хуодэдэ банулги, тэт кэйп уури паайп ҥолул;
ykg	Көдэ йаԝнар тудэ интэриэспэ чоҥнулҥинь профсоюзлэ ԝиэрэҥ, тадаа чилиэн ҥолуол-мораԝ параԝааньэй.
