zlm	Bahawasanya pengabaian serta penghinaan terhadap hak asasi manusia telah pun mengakibatkan tindakan terkutuk yang telah melanggari perasaan hati umat manusia, dan munculnya sebuah dunia di mana manusia akan menikmati kebebasan berucap dan menganut kepercayaan serta kebebasan dari rasatakut dan citarasa telah pun diisytiharkan sebagai aspirasi toragung seluruh umat manusia.
ztu	Wzahahn ra:a'p deree'ch guuny escojeer xi cla's deh educasyoony ga:a'p zhii'inyrih.
ykg	тэт омо, аруу, ньаачэн сурэ, тадаатэ эрэльиигийэ хуодэдэ банулги, тэт кэйп уури паайп ҥолул;
rgn	la presènta dichiarazioun universèla di dirét umèn cumè ideél comun da cunquistè da tot i popli e da tot al Nazioun,s'u scop che ogni individui e ogni urganismi dla società, tnénd sempra presènta stà Dichiarazioun, u s'impègna a lavurè, s'l'insegnamènt e s'l'educazioun, prì u rispèt at stì dirét e at stlì libertà e ad garantin, miténd in àt iniziativi sempri piò numerousi at caratri naziunèl e internaziunèl, l'universèl e concrét riconoscimènt e rispèt, tent tra i popli di stés Stèd mémbri, quant tra quéi di teritòri che i è sotopost mla su giurisdizioun.
duu	Avzangf gongxhuix lev zufzix ningx canxjiax lixyix lev weivhux juanvlix alf.
nhn	Pampa nojkia tlauel moneki ma kuali timouikakaj, ma tielikaj keuak tiiknimej, nochi tlen tlakamej uan siuamej tlen tiitstokej ni tlalpan.
lot	ibariti, elulung iko emanyiti (laws) hun obengi to ohoro elotulo iko abolori honyi.
bfa	Karen ŋuto ködyö kata ko toďiri i karen jur ko i karen pirit i komoŋ na saret.
ibb	Kpupuru owo enyene unen ndiworo nda ke ebiet kiet ekededi nte owo emi enyende unen ke iso mbet.
tdt	Ema ida la bele moris hanesan ata; sei halakon hosi raiklaran hahalok ne’e be lori ema seluk moris hanesan ata.
que	Mana pi amsa ucuman apanga pandari nishcamanta, imashina nin quiquin llactacunapac quellca, mashcanacungami haum llaquichi, tucuylla allí ricuyhuán ricushpa.
nku	Yʋʋn lɛ yʋʋn pɛɛ hʋn maan hɛ zʋnŋɔ tɔsɛɛ.
csa	Eyoü sɨ̈ juu lejɨ tsou tsa sɨ̈i tiní nita tsako' mixii chima tsamakaloo lejɨ̈ tsou lekö mukuu.
ppl	Wan su gen se tehemet gitemuwat weli yawi tik uk se techan gitemuwa gan weli nemi.
aar	Ramad yallih gino kinniih, ayyuntak rakiibo ; doolat kee ayyuntal cakkik le kaa dacarisaanam.
orh	Beyel gerbe pingdeng chalin pingdeng chuanli bishi, chishi-ye e-baka-yi-tin.
niv	Айф вавиныкғун куғытн тʼоӿтт ӿаӻай нан вавнд заключайдғун.
ijs	Fun tolumo yebi kim’ tobou mie bolou buo mo ye, mani umie ni wo gomu yo nimi, wo parain nimi bara nimi, nda mani lbemo-lbemo mie dudu tari, doo na okpo se piri ye.
snk	Saareye do lemiñaaxu nan siri koroosindi daritante kitta lemine su a ga saare kacce ma a ga ma saare kacce, i sun siri tangene moxo baane ya.
hms	Jid jiangt ad leb sib gieb renl njanl xand yanl nend, geud gangs yad yad nangd guel giad gaot leb leb nex geud jid chud piaod zhenx. Gangs mix hneb hneb jid pud jid ngheub, jid zheax jid sheab, nex chead zend zhongb njanl lib gaot zib youl. Tongd guob guel giad nhangs guel jib nangd cuob sid, gangs ad baob njant lib gaot zib youl nend, nib yad yad nangd guel giad nangd renl minl dad ndub,leb leb seat chenl renb gaot zend xinl.
cjy	谁的私生活、家庭、住宅和通信也不敢任意干涉，他的荣誉和名誉不敢加以攻击。人人有权享受法律支应，以免受这种干涉或攻击。
src	s'Assemblea Zenerale proclamat
zro	Kumanu jinia na ichanu ikicha rikuanu cha nuka nukitia aitika jinia ku mirasua.
mxi	Considerando que la libertate, la ciustitia e la pace in el mondo tienent per basse la reconoscentia de la dignitate intrinseca e de les dretos eguales et inalienabeles de totos les membros de la familia humana,
fvr	Na kwa nyét namá in kǒel áláŋ da̱ldɨ (dɨne) elaiŋ eeŋ ásáŋ dᵾó bi dᵾó baaj jírsíŋóꞌŋ na dééŋ tá̱á̱rɨ́ꞌŋ ta̱ɨma kee ná kin nîŋ ere ásáŋ ka̱lɨ á ta̱ɨmelba.
evn	эрэвэр ичэтчэнэ, Объединеннаил Нациял тэгэ̄лтын Уставду мэ̄нңи тэдедерӣвэт дукура, илэтыкин һэгдывэ̄н, со̄ткувэ̄н, бэел, асӣл-да урэ̄тывэ̄тын гӯнэ, илгэ̄рэ-дэ бэлэгэ̄ми социальнай прогрессту, аятмарит о̄ми илэл бидэ̄вэтын;
buc	Tsisi huluŋu mbu atou nguvu ihiditri an-shama.
pbu	هيڅ څوک نه شي کولے چې څوک په غلامۍ کښې وساتي۔ او د غلامانو را کړه ور کړه په هر ډول چې وي ممنوع ده۔
bax	Nshié mún mâ njetne’ i yi mbe yu vé te kû tú mo’ mún, ké yi mshüshü’ i, ké yi ntûme’i te ngu.
qxu	Kanmi derechonchis estudiananchispaq, hinaspa obligatorio escuela primariapi estudiananchispaq mana qolqeta pagaspalla. Kantaqmi derechonchis, allin estudiasqanchisman hina, secondariapipas, estudios superiorespipas estudiananchispaq.
tgl	Sapagkat ang mga Kasaping Estado ay nangako sa kanilang sarili na tamuhin sa pakikipagtulungan sa mga Bansang Nagkakaisa, ang pagtataguyod ng pandaigdig na paggalang at pagtalima sa mga karapatan ng tao at mga saligang kalayaan.
emk	Mɔɔ si bolo fen ma kan ka mina a la fanka bolo ma.
nym	Kila munhu wina haki ya kubi na nsi.
vai	ꗞ ꔰ ꔇꔀ ꖴꘋ ꗏꖺ ꘃ ꗞ ꕮ ꕒꔤꕩ ꕉ ꕧ ꕸꖃꔀ ꕮ ꕉꖷ ꗞ ꔇꔀ ꖴꘋ ꗏꖺ ꘃ ꕸꖃ ꔉꕖꕌ ꗞ ꕧꕌ ꔧ ꕉ ꕴꕱꕎ ꕉ ꕩꕌ ꕧ ꕸꖃ ꕸꖃꔀ ꗏ ꕘꕞꘋ.
gkp	A kɛ lənɛɛ nukan dɔɔi gaa maanɛ yɛnɛ nuan diə pɛli kweiwoo ɓoi, diə laa di maamɛni la, yi di hwa kɛ ɲɛimaaɲɔn da mɔnɔ di hu, ɓə kele yɛnɛnuan kaa bɔi.
amc	Pishtacovin tzova jamun haruzquin jau nininyamatimunhcanquihqui.
bos	Niko se ne smije smatrati krivim za krivično djelo na temelju bilo kakvog čina ili propusta koji nisu predstavljali krivično djelo u smislu nacionalnog ili međunarodnog prava u vrijeme kada su oni bili počinjeni. Isto tako ne smije se izricati teža kazna od one koja se mogla primjeniti kada je krivično djelo počinjeno.
oaa	Ӈуивэддэ эӡилил баи аристоваира, эӡилил даппа̄, эӡилил хасаси.
pes	هر کس حق دارد در برابر تعقیب شکنجه و آزار پناهگاهی جستجو کند و در کشورهای دیگر پناه اختیار کند.
hsn	法律之前人人平等，并有权享受法律的平等保护，不受随么子歧视。人人有权享受平等保护，以免受违反本宣言的随么子歧视行为以及煽动咯种歧视的随么子行为之害。
slr	Kish toplumnihxi üyesi der, toplum garantisine dekhhxur dihxen hak var, haysiyeti ma kishiliki hürchukh gelishtirish dekhhxur dihxen iktisat, toplum ma kültür haklarine uygulashen dekhhxur dihxen hak var, bu ulusal ma uluslararasi tarzlar la, ulusal bünye ma kaynakden etgen.
oki	Chito agetogol koyanat en tayitop ngotutik.
hni	Miavpyuq heq nil maq ceil lal,aqnu hhaqhav maq lavsiv laq meil e faqltiq yaol dal alnei,aqsol liq saqnei qiq kov dei laq meil meiqzaq bu'loq nei,loqleil nei ceilsoq qivq,xilmeil e ngaoq, aqyoq e meeqduq ssolnei meeqhhaq lo'qo,aqyoq hultav eilduv laq e miaoqzyul meiqzaq ceilsoq qivq.
gld	Най таони, общество членни бими, нёани экономическай, социальнай, культурнэй удэду мэнэ гэбуи эурӣчэми, хэӈгэлди урэми балдигоани, нёани странадоани балди голосал гой-гой боаду балди голосалди гэсэ диа диавари бэлэчивэчи гэлэури. Тэй найсал таони правочи.
prs	هر کس حق دارد در برابر تعقیب، شکنجه و آزار پناهگاهی جستجو کند و در کشورهای دیگر پناه اختیار نماید.
